image_name|date_time|distances|avg_distances|distance_limit
sample_image.jpg|2021-12-24 22:08:39.247518|49.62305986696231|49.62305986696231|50
sample_image.jpg|2021-12-24 22:08:39.322638|47.61702127659574|48.62004057177903|50
sample_image.jpg|2021-12-24 22:08:39.392424|46.239669421487605|47.82658352168189|50
sample_image.jpg|2021-12-24 22:08:39.464953|45.30364372469636|47.19584857243551|50
sample_image.jpg|2021-12-24 22:08:39.498888|45.30364372469636|46.817407602887684|50
sample_image.jpg|2021-12-24 22:08:39.536572|46.918238993710695|46.83421283469152|50
sample_image.jpg|2021-12-24 22:08:39.574645|44.142011834319526|46.44961269178123|50
sample_image.jpg|2021-12-24 22:08:39.646290|45.21212121212121|46.29492625682373|50
sample_image.jpg|2021-12-24 22:08:39.682459|46.82008368200837|46.35327708184425|50
sample_image.jpg|2021-12-24 22:08:39.721657|45.30364372469636|46.248313746129455|50
sample_image.jpg|2021-12-24 22:08:39.791108|48.75816993464052|46.47648249053955|50
sample_image.jpg|2021-12-24 22:08:39.827887|52.04651162790697|46.940651585320175|50
sample_image.jpg|2021-12-24 22:08:39.865163|43.7109375|46.692212040295544|50
sample_image.jpg|2021-12-24 22:08:39.937331|42.95585412667946|46.42532933218011|50
sample_image.jpg|2021-12-24 22:08:40.007196|46.43153526970954|46.42574306134874|50
sample_image.jpg|2021-12-24 22:08:40.077959|43.7109375|46.25606771376444|50
sample_image.jpg|2021-12-24 22:08:40.148510|44.142011834319526|46.131711485561794|50
sample_image.jpg|2021-12-24 22:08:40.183069|42.22641509433962|45.91475057493834|50
sample_image.jpg|2021-12-24 22:08:40.218761|44.581673306772906|45.84458861345595|50
sample_image.jpg|2021-12-24 22:08:40.255340|53.54066985645933|46.22939267560612|50
sample_image.jpg|2021-12-24 22:08:40.397313|43.03846153846154|45.90016275918108|50
sample_image.jpg|2021-12-24 22:08:40.433040|40.03577817531306|45.52110060411695|50
sample_image.jpg|2021-12-24 22:08:40.946178|148.21192052980132|50.61971315953264|50
sample_image.jpg|2021-12-24 22:08:41.945504|141.64556962025316|55.43680945431048|50
sample_image.jpg|2021-12-24 22:08:42.022763|148.21192052980132|60.582223294565736|50
sample_image.jpg|2021-12-24 22:08:42.059015|141.64556962025316|65.31858982589284|50
sample_image.jpg|2021-12-24 22:08:42.352062|141.64556962025316|70.19376771518952|50
sample_image.jpg|2021-12-24 22:08:42.459568|148.21192052980132|75.34375768107353|50
sample_image.jpg|2021-12-24 22:08:42.800526|154.3448275862069|80.71999487628345|50
sample_image.jpg|2021-12-24 22:08:43.384056|46.43153526970954|80.77638945353411|50
sample_image.jpg|2021-12-24 22:08:43.420008|46.43153526970954|80.66005772028755|50
sample_image.jpg|2021-12-24 22:08:43.456207|45.95482546201232|80.35547341199283|50
sample_image.jpg|2021-12-24 22:08:43.491749|47.71855010660981|80.55585404232332|50
sample_image.jpg|2021-12-24 22:08:43.720285|46.144329896907216|80.71527783083472|50
sample_image.jpg|2021-12-24 22:08:43.791794|46.82008368200837|80.73470525144965|50
sample_image.jpg|2021-12-24 22:08:43.901611|42.22641509433962|80.66047913116664|50
sample_image.jpg|2021-12-24 22:08:43.936836|40.03577817531306|80.45516744821632|50
sample_image.jpg|2021-12-24 22:08:43.972842|44.31683168316832|80.55968827765774|50
sample_image.jpg|2021-12-24 22:08:44.009096|43.372093023255815|80.4992092634819|50
sample_image.jpg|2021-12-24 22:08:44.045608|40.03577817531306|79.82396467942458|50
sample_image.jpg|2021-12-24 22:08:44.081694|40.03577817531306|79.67383051126714|50
sample_image.jpg|2021-12-24 22:08:44.126846|44.142011834319526|79.87914219421745|50
sample_image.jpg|2021-12-24 22:08:44.163840|46.239669421487605|74.78052963880178|50
sample_image.jpg|2021-12-24 22:08:44.198085|44.8496993987976|69.94073612772901|50
sample_image.jpg|2021-12-24 22:08:44.233767|43.62573099415204|64.71142665094655|50
sample_image.jpg|2021-12-24 22:08:44.271086|42.628571428571426|59.76057674136247|50
sample_image.jpg|2021-12-24 22:08:44.311987|43.12138728323699|54.83436762451165|50
sample_image.jpg|2021-12-24 22:08:44.348427|52.04651162790697|50.02609717941694|50
sample_image.jpg|2021-12-24 22:08:44.384425|40.03577817531306|44.31064470887225|50
sample_image.jpg|2021-12-24 22:08:44.567302|45.030181086519114|44.24057699971273|50
sample_image.jpg|2021-12-24 22:08:44.607415|40.03577817531306|43.9207891449929|50
sample_image.jpg|2021-12-24 22:08:44.645291|40.03577817531306|43.62483678065795|50
sample_image.jpg|2021-12-24 22:08:44.681905|40.03577817531306|43.24069818409311|50
sample_image.jpg|2021-12-24 22:08:44.752466|40.03577817531306|42.9352705980134|50
sample_image.jpg|2021-12-24 22:08:44.789279|40.03577817531306|42.59605532267864|50
sample_image.jpg|2021-12-24 22:08:44.860018|40.03577817531306|42.486523476727314|50
sample_image.jpg|2021-12-24 22:08:44.902358|44.404761904761905|42.704972663199754|50
sample_image.jpg|2021-12-24 22:08:44.938794|40.03577817531306|42.49091998780698|50
sample_image.jpg|2021-12-24 22:08:44.975732|40.03577817531306|42.32410424540985|50
sample_image.jpg|2021-12-24 22:08:45.047801|40.03577817531306|42.32410424540985|50
sample_image.jpg|2021-12-24 22:08:45.084737|44.31683168316832|42.538156920802614|50
sample_image.jpg|2021-12-24 22:08:45.120519|43.372093023255815|42.49966098024943|50
sample_image.jpg|2021-12-24 22:08:45.157275|43.96856581532416|42.38610579994125|50
sample_image.jpg|2021-12-24 22:08:45.193431|43.372093023255815|42.31222548116416|50
